image,row,col,cluster,e0_gabor000,e0_gabor045,e0_gabor090,e0_gabor135,e0_log,e0_dog,e0_log2,e0_media,e1_gabor000,e1_gabor045,e1_gabor090,e1_gabor135,e1_log,e1_dog,e1_log2,e1_media,e2_gabor000,e2_gabor045,e2_gabor090,e2_gabor135,e2_log,e2_dog,e2_log2,e2_media
01.png,1,7,1,0.00000,0.00001,0.00000,0.00000,0.00001,0.00005,0.00000,255.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00005,0.00000,255.00002,0.02188,0.00550,0.00806,0.04180,0.00039,0.16177,0.05923,254.99835
01.png,1,8,1,0.00394,0.00334,0.00647,0.00393,0.00457,0.01604,0.01570,254.99437,0.07507,0.08144,0.02540,0.01414,0.01620,0.30782,0.16657,254.97426,0.57344,0.84394,0.39011,0.50925,0.24985,3.51949,2.64342,254.60358
01.png,1,9,5,3.88610,4.11995,3.25137,3.01056,5.37620,7.70242,9.03484,198.18497,5.69755,6.22848,5.09878,4.96460,9.00311,11.27957,15.29976,199.85785,6.49780,10.71601,8.72111,6.47753,14.33108,8.88298,16.83493,203.53235
01.png,1,10,5,5.91681,5.50312,5.53461,6.24761,8.80658,9.35396,12.07582,116.38280,9.38051,7.66382,7.02272,7.56029,11.41853,8.82308,14.71105,118.79765,7.58371,12.65993,8.20110,10.47104,13.91748,18.47681,16.46244,124.67284
01.png,1,11,5,10.32784,4.99941,3.72445,6.15517,10.04922,8.73067,11.45811,153.65430,9.25028,5.55425,5.24031,7.88288,10.97456,11.97864,14.94483,153.45801,6.63723,6.61229,12.18432,14.23356,14.66502,8.95690,15.45897,153.53282
01.png,1,12,5,10.00647,4.85282,3.77571,5.19945,9.31145,6.75484,9.52712,158.16316,9.76874,6.27928,5.77527,5.24360,8.56466,8.35970,9.27895,157.17441,7.73133,6.24584,7.57744,8.12119,8.53346,10.88305,12.44576,155.42517
01.png,1,13,5,6.06066,3.10243,2.02983,4.23659,5.92957,6.80571,8.07162,133.40787,7.70308,4.92025,2.62102,4.95459,7.91297,7.20997,10.08456,134.72153,8.20444,4.02988,5.60632,4.74213,9.34186,13.37317,15.67287,142.09613
01.png,1,14,5,4.78056,3.23557,3.04707,4.79892,6.37620,6.61218,7.74402,179.50360,7.11316,3.56559,4.35883,4.74438,7.31224,7.54472,10.31197,179.38464,10.05702,4.35191,5.12704,3.76942,9.50554,5.83360,9.22795,181.68828
01.png,1,15,3,2.92416,2.31018,2.26534,1.48151,3.66041,3.46631,4.44620,239.06662,3.25107,2.77192,3.40564,2.87502,4.05154,4.35201,4.74293,237.77042,2.72077,2.94446,3.35813,2.83108,4.82187,7.05264,9.08735,233.53513
01.png,2,0,5,5.74661,7.37510,6.65746,6.58386,10.50181,10.75791,15.34439,201.63669,8.54914,9.48862,10.76681,10.60194,14.94800,10.74944,16.05393,199.95181,12.78049,7.24779,10.78019,7.93599,14.44717,11.83379,9.93476,195.60626
01.png,2,1,5,4.65279,3.84441,5.48598,7.17704,8.37202,11.79884,14.04955,167.33191,7.66997,5.96508,7.14146,12.60806,14.06831,14.90466,21.11647,167.94839,16.22552,7.71198,7.61650,12.02638,20.09180,11.67015,22.26741,165.20433
01.png,2,2,5,4.31972,4.43506,5.61450,4.89922,7.41253,6.92668,9.55286,72.71857,7.93899,7.49838,7.81402,8.98198,9.27196,9.25103,10.57320,73.32668,16.05134,7.33357,5.39697,6.30324,10.36776,4.08044,10.29273,76.16994
01.png,2,3,5,5.49905,4.68725,6.02964,7.54023,8.74360,7.53932,11.75830,76.71085,7.75395,7.20299,5.75920,10.33931,10.60614,6.82715,9.81268,74.48213,6.38286,9.48447,6.94159,4.76614,8.73467,4.85856,6.45488,71.12352
01.png,2,4,5,7.59601,9.35915,10.63393,9.39161,14.78112,11.40130,17.61763,123.67286,13.13004,12.73208,12.28164,14.46109,15.64994,11.68501,15.89994,125.01582,19.13916,12.93612,13.30990,4.28125,13.79891,6.28429,5.73333,123.54313
01.png,2,5,5,5.62863,6.23224,7.07773,5.47283,9.61416,9.19773,11.94531,198.58896,8.75425,7.80879,7.73541,8.93068,11.98200,10.40941,15.88046,196.78665,14.88674,12.89094,10.72478,6.41894,15.08802,6.99932,13.13714,192.71190
